Median pitch,Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Mean autocorrelation,Mean noise-to-harmonics ratio,Mean harmonics-to-noise ratio,clip_name,age,gender
205.288,236.589,94.318,104.162,584.444,591,564,4.245602E-3,1.339961E-3,48.575,19,24.357,2.063,87.592E-6,0.909,0.891,2.726,10.048,0.966,3.776,4.780,7.113,11.329,0.902697,0.129813,12.542,common_voice_en_18581342.mp3,fifties,female
198.247,240.601,116.613,143.597,579.016,273,260,4.231632E-3,1.513386E-3,64.434,7,17.567,2.356,99.711E-6,1.042,1.111,3.126,11.044,0.985,4.276,4.762,7.743,12.829,0.861319,0.220511,10.658,common_voice_en_18581343.mp3,fifties,female
167.867,183.238,56.139,101.738,588.841,452,435,5.464909E-3,1.202128E-3,51.064,13,24.492,2.181,119.177E-6,0.991,1.084,2.974,9.884,0.990,3.408,4.692,7.402,10.225,0.875752,0.175284,11.254,common_voice_en_18581344.mp3,fifties,female
187.925,195.901,61.313,143.497,596.131,268,258,5.117379E-3,1.169115E-3,61.167,7,19.345,1.945,99.510E-6,0.752,0.843,2.256,8.581,0.887,3.266,3.892,6.512,9.797,0.899607,0.140108,12.877,common_voice_en_18581345.mp3,fifties,female
160.238,171.434,42.974,140.860,558.901,247,243,5.844824E-3,0.915024E-3,61.167,3,11.409,1.640,95.854E-6,0.787,0.840,2.360,6.644,0.693,2.986,3.426,6.009,8.957,0.933605,0.084998,14.305,common_voice_en_18581346.mp3,fifties,female
190.850,212.981,82.905,104.946,573.423,619,604,4.707741E-3,1.527396E-3,56.263,13,32.708,2.372,111.678E-6,0.854,0.947,2.561,9.146,0.930,3.528,4.228,7.107,10.583,0.893977,0.148449,11.713,common_voice_en_18581352.mp3,fifties,female
205.645,212.839,38.020,134.169,341.343,306,295,4.709969E-3,0.813251E-3,60.192,9,25.016,1.861,87.639E-6,0.580,0.631,1.741,7.854,0.789,2.667,3.442,6.264,8.000,0.905134,0.138466,13.779,common_voice_en_18581353.mp3,fifties,female
194.981,201.466,38.991,102.020,294.054,275,267,4.951779E-3,0.932347E-3,59.789,6,18.337,2.013,99.673E-6,0.624,0.848,1.872,8.660,0.890,3.092,4.014,7.419,9.275,0.896266,0.139017,11.721,common_voice_en_18581354.mp3,fifties,female
207.367,219.749,69.212,141.253,567.685,263,251,4.574919E-3,1.090627E-3,59.862,6,12.862,1.761,80.560E-6,0.639,0.720,1.918,7.632,0.806,2.588,3.286,5.647,7.765,0.917935,0.108514,13.380,common_voice_en_18581355.mp3,fifties,female
217.464,228.059,66.429,154.882,537.515,397,385,4.437087E-3,1.108186E-3,60.630,8,25.833,1.526,67.714E-6,0.538,0.583,1.613,6.772,0.738,2.069,3.006,6.398,6.207,0.941611,0.075782,15.243,common_voice_en_18581356.mp3,fifties,female
193.982,201.037,53.646,130.683,556.389,296,285,4.991173E-3,1.093785E-3,57.263,6,16.150,1.530,76.385E-6,0.667,0.601,2.001,6.280,0.580,2.351,3.002,5.624,7.052,0.932270,0.093399,16.277,common_voice_en_18581362.mp3,fifties,female
190.609,212.665,69.928,129.802,585.929,390,379,4.717369E-3,1.365054E-3,60.350,10,29.677,2.722,128.383E-6,0.951,1.119,2.854,9.752,0.998,4.138,4.684,7.219,12.415,0.869085,0.189800,10.998,common_voice_en_18581363.mp3,fifties,female
166.966,201.480,103.611,146.817,596.595,218,210,4.986872E-3,1.724150E-3,65.033,5,23.551,2.364,117.881E-6,0.972,0.995,2.915,13.608,1.094,5.017,6.121,8.988,15.052,0.894832,0.139108,11.186,common_voice_en_18581364.mp3,fifties,female
173.937,207.568,111.581,116.367,604.089,472,444,4.910896E-3,1.709651E-3,55.439,15,35.288,2.249,110.424E-6,0.989,1.130,2.968,11.246,1.010,3.497,4.821,7.963,10.491,0.889836,0.159636,12.188,common_voice_en_18581365.mp3,fifties,female
201.268,211.969,33.931,142.875,295.070,361,351,4.732218E-3,0.731402E-3,64.266,9,28.132,1.939,91.754E-6,0.838,0.947,2.515,8.846,0.864,2.805,4.371,8.088,8.415,0.919426,0.112056,13.921,common_voice_en_18581366.mp3,fifties,female
225.622,222.438,46.491,106.536,313.440,378,368,4.527653E-3,1.129943E-3,65.659,9,16.931,2.104,95.268E-6,1.084,0.941,3.252,8.770,0.876,3.178,3.956,7.338,9.534,0.924898,0.095164,14.319,common_voice_en_18581392.mp3,fifties,female
188.741,203.924,67.399,146.286,581.171,246,240,4.896454E-3,1.214696E-3,58.034,4,13.316,1.533,75.068E-6,0.708,0.707,2.124,8.010,0.781,3.173,3.178,5.623,9.519,0.930067,0.096072,14.709,common_voice_en_18581393.mp3,fifties,female
222.808,219.754,38.954,160.341,292.877,124,118,4.536639E-3,0.850017E-3,75.843,5,20.783,2.203,99.926E-6,0.643,0.680,1.930,8.366,0.759,3.356,4.115,6.322,10.069,0.891948,0.132197,10.368,common_voice_en_18581394.mp3,fifties,female
202.643,207.272,30.181,150.119,322.595,424,410,4.826384E-3,0.668593E-3,58.136,13,30.086,1.928,93.075E-6,0.784,0.843,2.351,7.349,0.729,2.402,3.401,5.698,7.207,0.905613,0.131805,12.776,common_voice_en_18581395.mp3,fifties,female
178.457,183.712,27.307,140.139,314.895,478,464,5.449446E-3,0.768712E-3,53.662,13,23.223,1.975,107.606E-6,0.926,0.842,2.778,7.965,0.861,2.727,3.609,7.008,8.181,0.919111,0.110675,13.900,common_voice_en_18581398.mp3,fifties,female
207.553,237.738,83.869,149.214,575.093,154,142,4.255540E-3,1.239044E-3,66.463,7,28.385,3.057,130.086E-6,1.406,1.405,4.218,11.381,0.941,3.933,4.140,5.791,11.800,0.855925,0.213556,11.245,common_voice_en_18581402.mp3,fifties,female
192.244,200.254,55.750,140.425,480.258,133,125,4.955729E-3,1.141366E-3,71.296,7,15.582,3.856,191.101E-6,1.828,2.179,5.483,11.534,1.093,4.057,5.762,11.792,12.172,0.819348,0.299364,8.475,common_voice_en_18581403.mp3,fifties,female
183.111,205.888,76.675,147.738,590.427,221,212,4.916245E-3,1.327686E-3,61.667,6,19.384,2.409,118.417E-6,0.923,1.186,2.770,10.918,1.026,4.457,5.533,8.654,13.372,0.886850,0.151047,11.172,common_voice_en_18581404.mp3,fifties,female
189.041,204.209,68.102,142.394,595.789,456,437,4.969512E-3,1.093005E-3,62.676,12,17.810,1.941,96.453E-6,0.914,0.912,2.741,9.400,0.921,3.777,4.333,7.394,11.330,0.895343,0.154276,12.421,common_voice_en_18581405.mp3,fifties,female
183.847,188.638,34.248,117.209,279.882,182,176,5.335735E-3,0.984833E-3,61.389,4,11.688,2.098,111.923E-6,0.970,0.992,2.911,6.396,0.671,2.900,3.702,4.994,8.700,0.893886,0.151184,12.303,common_voice_en_18581406.mp3,fifties,female
207.710,225.299,77.557,150.650,564.582,336,324,4.439206E-3,1.277107E-3,60.360,9,25.483,2.254,100.048E-6,0.943,0.991,2.830,9.067,0.876,3.430,4.920,7.331,10.289,0.885252,0.170172,11.896,common_voice_en_18581417.mp3,fifties,female
186.249,211.008,92.644,138.883,574.211,185,177,4.740700E-3,1.520931E-3,69.388,7,16.512,2.243,106.342E-6,1.168,1.268,3.505,10.237,0.969,3.395,4.527,8.782,10.184,0.877495,0.189583,12.434,common_voice_en_18581418.mp3,fifties,female
179.419,181.884,22.103,143.187,259.572,443,432,5.504545E-3,0.676276E-3,55.450,10,26.274,2.381,131.058E-6,1.195,1.175,3.584,9.033,0.953,3.197,4.541,7.554,9.592,0.896233,0.144771,12.359,common_voice_en_18581419.mp3,fifties,female
163.022,180.246,68.098,143.684,533.070,259,249,5.577517E-3,1.337536E-3,59.808,6,22.744,1.758,98.063E-6,0.639,0.723,1.917,8.879,0.928,3.245,4.245,7.232,9.735,0.894949,0.148991,12.215,common_voice_en_18581420.mp3,fifties,female
176.765,194.273,79.421,101.344,576.083,314,296,5.178903E-3,1.387016E-3,60.647,12,25.256,2.078,107.607E-6,1.011,1.058,3.034,10.491,1.091,3.696,4.083,9.143,11.087,0.884845,0.169387,12.385,common_voice_en_18581421.mp3,fifties,female
188.562,206.317,71.618,143.769,540.666,305,290,4.893239E-3,1.275772E-3,63.833,12,30.478,2.634,128.899E-6,1.137,1.230,3.412,10.133,1.028,3.702,4.079,7.072,11.105,0.845043,0.238689,9.888,common_voice_en_18581427.mp3,fifties,female
165.536,174.197,46.330,127.559,569.498,337,322,5.788304E-3,0.872594E-3,57.484,11,27.154,1.927,111.555E-6,0.793,0.844,2.380,8.108,0.902,2.924,3.977,7.236,8.773,0.895532,0.145385,12.000,common_voice_en_18581428.mp3,fifties,female
176.933,190.700,71.491,143.354,570.927,288,277,5.274733E-3,1.311412E-3,59.847,8,18.392,2.219,117.041E-6,0.912,0.942,2.737,9.062,0.856,3.685,4.199,6.724,11.054,0.914848,0.118142,13.624,common_voice_en_18581429.mp3,fifties,female
157.260,198.530,107.960,136.381,590.394,408,384,5.132918E-3,1.856384E-3,56.964,15,31.125,2.177,111.731E-6,0.876,1.028,2.627,10.342,0.945,4.162,4.633,6.732,12.487,0.887982,0.161667,11.362,common_voice_en_18581430.mp3,fifties,female
183.283,194.301,54.912,103.843,591.137,537,515,5.165274E-3,1.095257E-3,51.493,17,26.698,2.546,131.490E-6,1.223,1.195,3.669,8.361,0.856,2.788,3.446,4.858,8.363,0.896481,0.149667,13.418,common_voice_en_18581431.mp3,fifties,female
199.090,231.500,99.082,148.614,589.368,356,342,4.385536E-3,1.365639E-3,56.478,7,23.029,2.405,105.481E-6,1.061,1.024,3.183,9.134,0.964,4.135,4.931,8.262,12.405,0.897600,0.144019,11.804,common_voice_en_18581447.mp3,fifties,female
